,Key,Year,subject,bat_species,Virus,viral_family,family
270,9XE9JTKH,1978,bat,Carollia subrufa,VEEV,Rhabdoviridae,Phyllostomidae
275,5CAXUUA5,1978,bat,Carollia subrufa,VEEV,Rhabdoviridae,Phyllostomidae
272,9XE9JTKH,1978,bat,Phyllostomus discolor,VEEV,Rhabdoviridae,Phyllostomidae
277,5CAXUUA5,1978,bat,Phyllostomus discolor,VEEV,Rhabdoviridae,Phyllostomidae
271,9XE9JTKH,1978,bat,Sturnira lilium,VEEV,Rhabdoviridae,Phyllostomidae
276,5CAXUUA5,1978,bat,Sturnira lilium,VEEV,Rhabdoviridae,Phyllostomidae
235,8I82FBSA,2008,bat,Eptesicus fuscus,WCBV,Rhabdoviridae,Vespertilionidae
86,SAGWI9NI,2014,cells,Eidolon helvum,WNV,Flaviviridae,Pteropodidae
88,SAGWI9NI,2014,cells,Epomops buettikoferi,WNV,Flaviviridae,Pteropodidae
243,Z7P37JYU,2005,bat,Eptesicus fuscus,WNV,Flaviviridae,Vespertilionidae
90,SAGWI9NI,2014,cells,Hypsignathus monstrosus,WNV,Flaviviridae,Pteropodidae
92,SAGWI9NI,2014,cells,Myotis daubentonii,WNV,Flaviviridae,Vespertilionidae
94,SAGWI9NI,2014,cells,Perimyotis subflavus,WNV,Flaviviridae,Vespertilionidae
96,SAGWI9NI,2014,cells,Rousettus aegyptiacus,WNV,Flaviviridae,Pteropodidae
265,MCPVUAXZ,1982,bat,Rousettus aegyptiacus,WNV,Flaviviridae,Pteropodidae
98,SAGWI9NI,2014,cells,Tadarida brasiliensis,WNV,Flaviviridae,Molossidae
244,Z7P37JYU,2005,bat,Tadarida brasiliensis,WNV,Flaviviridae,Molossidae
232,4HT3K9B5,2010,bat,Rousettus leschenaultii,YOKV,Flaviviridae,Pteropodidae
8,LB8R2ATD,2010,cells,Rousettus aegyptiacus,ZEBOV,Filoviridae,Pteropodidae
172,CVYQX55M,2023,bat,Artibeus jamaicensis,ZIKV,Flaviviridae,Phyllostomidae
181,99MEQALX,2021,bat,Artibeus jamaicensis,ZIKV,Flaviviridae,Phyllostomidae
198,XBGQWTDI,2019,bat,Artibeus jamaicensis,ZIKV,Flaviviridae,Phyllostomidae
109,LW5JG4HJ,2023,cells,Pteropus alecto,ZIKV,Flaviviridae,Pteropodidae
